DateUTC;DateShort;TimeFrom;TimeTo;CountryCode;Value;Value_ScaleTo100
01-01-2024 00:00;01-01-2024;00:00;01:00;BE;7262.5975;7262.5975
01-01-2024 01:00;01-01-2024;01:00;02:00;BE;7032.9325;7032.9325
01-01-2024 02:00;01-01-2024;02:00;03:00;BE;6813.385;6813.385
01-01-2024 03:00;01-01-2024;03:00;04:00;BE;6696.3325;6696.3325
01-01-2024 04:00;01-01-2024;04:00;05:00;BE;6714.4175;6714.4175
01-01-2024 05:00;01-01-2024;05:00;06:00;BE;6873.105;6873.105
01-01-2024 06:00;01-01-2024;06:00;07:00;BE;6919.6625;6919.6625
01-01-2024 07:00;01-01-2024;07:00;08:00;BE;7119.6725;7119.6725
01-01-2024 08:00;01-01-2024;08:00;09:00;BE;7326.785;7326.785
01-01-2024 09:00;01-01-2024;09:00;10:00;BE;7690.785;7690.785
01-01-2024 10:00;01-01-2024;10:00;11:00;BE;8028.415;8028.415
01-01-2024 11:00;01-01-2024;11:00;12:00;BE;8204.5925;8204.5925
01-01-2024 12:00;01-01-2024;12:00;13:00;BE;8199.8375;8199.8375
01-01-2024 13:00;01-01-2024;13:00;14:00;BE;8097.5025;8097.5025
01-01-2024 14:00;01-01-2024;14:00;15:00;BE;8044.615;8044.615
01-01-2024 15:00;01-01-2024;15:00;16:00;BE;8112.4225;8112.4225
01-01-2024 16:00;01-01-2024;16:00;17:00;BE;8553.3175;8553.3175
01-01-2024 17:00;01-01-2024;17:00;18:00;BE;8782.0125;8782.0125
01-01-2024 18:00;01-01-2024;18:00;19:00;BE;8496.045;8496.045
01-01-2024 19:00;01-01-2024;19:00;20:00;BE;8058.2675;8058.2675
01-01-2024 20:00;01-01-2024;20:00;21:00;BE;7933.5125;7933.5125
01-01-2024 21:00;01-01-2024;21:00;22:00;BE;7968.005;7968.005
01-01-2024 22:00;01-01-2024;22:00;23:00;BE;7781.9125;7781.9125
01-01-2024 23:00;01-01-2024;23:00;00:00;BE;7514.1875;7514.1875
02-01-2024 00:00;02-01-2024;00:00;01:00;BE;7097.2025;7097.2025
02-01-2024 01:00;02-01-2024;01:00;02:00;BE;6885.375;6885.375
02-01-2024 02:00;02-01-2024;02:00;03:00;BE;6738.205;6738.205
02-01-2024 03:00;02-01-2024;03:00;04:00;BE;6810.7025;6810.7025
02-01-2024 04:00;02-01-2024;04:00;05:00;BE;7167.6375;7167.6375
02-01-2024 05:00;02-01-2024;05:00;06:00;BE;7897.4525;7897.4525
02-01-2024 06:00;02-01-2024;06:00;07:00;BE;8507.5475;8507.5475
02-01-2024 07:00;02-01-2024;07:00;08:00;BE;9176.33;9176.33
02-01-2024 08:00;02-01-2024;08:00;09:00;BE;9629.125;9629.125
02-01-2024 09:00;02-01-2024;09:00;10:00;BE;9853.6075;9853.6075
02-01-2024 10:00;02-01-2024;10:00;11:00;BE;10029.125;10029.125
02-01-2024 11:00;02-01-2024;11:00;12:00;BE;10180.1675;10180.1675
02-01-2024 12:00;02-01-2024;12:00;13:00;BE;10278.4725;10278.4725
02-01-2024 13:00;02-01-2024;13:00;14:00;BE;10165.73;10165.73
02-01-2024 14:00;02-01-2024;14:00;15:00;BE;10081.815;10081.815
02-01-2024 15:00;02-01-2024;15:00;16:00;BE;10088.295;10088.295
02-01-2024 16:00;02-01-2024;16:00;17:00;BE;10426.6925;10426.6925
02-01-2024 17:00;02-01-2024;17:00;18:00;BE;10568.475;10568.475
02-01-2024 18:00;02-01-2024;18:00;19:00;BE;10094.1075;10094.1075
